eval	acc	mcc	tp	fp	fn	tn
1e-20	0.9998814293157035	0.9001381536981702	141	0	33	278141
1e-19	0.999938918132332	0.949865098510213	157	0	17	278141
1e-18	0.9999461042344107	0.955899485153773	159	0	15	278141
1e-17	0.9999532903364893	0.9618961022087703	161	0	13	278141
1e-16	0.9999640694896071	0.970821739623844	164	0	10	278141
1e-15	0.9999712555916856	0.9767269574007952	166	0	8	278141
1e-14	0.9999784416937643	0.982596770751255	168	0	6	278141
1e-13	0.9999928138979214	0.9942326886753016	172	0	2	278141
1e-12	0.9999928138979214	0.9942326886753016	172	0	2	278141
1e-11	0.9999928138979214	0.9942326886753016	172	0	2	278141
1e-10	0.9999928138979214	0.9942326886753016	172	0	2	278141
1e-09	0.9999964069489607	0.9971205037205482	173	0	1	278141
1e-08	1.0	1.0	174	0	0	278141
1e-07	0.9999928138979214	0.9942983731004115	174	2	0	278139
1e-06	0.9999928138979214	0.9942983731004115	174	2	0	278139
1e-05	0.9999928138979214	0.9942983731004115	174	2	0	278139
0.0001	0.9999425111833714	0.9569413739073381	174	16	0	278125
0.001	0.999701776763739	0.8227033276642673	174	83	0	278058
0.01	0.9968488942385426	0.4062445076500919	174	877	0	277264
0.1	0.9919946822844619	0.268065978034768	174	2228	0	275913
1.0	0.9919443795699118	0.26728138710480065	174	2242	0	275899
